,value,definition,codesystem,code,iri
13818,Elevated circulating globotriaosylceramide concentration,"Increased concentration of globotriaosylceramide (Gb3) in the blood circulation. Globotriaosylceramide, also named ceramidetrihexoside, is the primary lipid storage in Fabry disease.",HP,HP:0033595,http://purl.obolibrary.org/obo/HP_0033595
13819,Elevated urinary 3-methylcrotonylglycine level,An abnormally increased amount of 3-methylcrotonylglycine in the urine.,HP,HP:0033596,http://purl.obolibrary.org/obo/HP_0033596
13820,Decreased mucosal sucrase-isomaltase activity,"Reduced activity of the linked disaccharidase, sucrase-isomaltase, which is a glycoprotein localized to the brush border membrane of small intestinal villi.",HP,HP:0033597,http://purl.obolibrary.org/obo/HP_0033597
13821,Fibrillar glomerular subepithelial deposits,"Fibrillar deposits located between the outer (epithelial) aspect of the glomerular basement membrane (GBM) and the visceral epithelial cell, with varying degrees of incorporation into the GBM. This feature is associated with a prominent GBM reflecting an diffuse and relatively uniform increase in thickness (subjective estimate).",HP,HP:0033598,http://purl.obolibrary.org/obo/HP_0033598
13822,Glomerular amyloid subepithelial deposits,"A type of fibrillar glomerular subepithelial deposit characterized by extracellular aggregates composed of fine, randomly oriented, non-branching fibrils 8-12 nm in diameter, often forming a cottony mass. This feature is associated with a prominent glomerular basement membrane (GBM) reflecting an diffuse and relativly uniform increase in thickness (subjective estimate).",HP,HP:0033599,http://purl.obolibrary.org/obo/HP_0033599
13823,Fibrillary glomerular subepithelial deposits,"A type of fibrillar glomerular subepithelial deposit characterized by extracellular aggregates of randomly arranged, straight, non-branching fibrils that are thicker than amyloid fibrils (average diameter about 20 nm) and are often admixed with smudgy, electron-dense material. This feature is associated with a prominent glomerular basement membrane (GBM) reflecting an diffuse and relativly uniform increase in thickness (subjective estimate).",HP,HP:0033600,http://purl.obolibrary.org/obo/HP_0033600
13824,Glomerular subepithelial immune-complex deposits,"A type of glomerular subepithelial deposit characterized by finely granular material deposited between the outer (epithelial) aspect of the glomerular basement membrane (GBM) and the visceral epithelial cell, with varying degrees of incorporation into the GBM and corresponding to immunoglobulin and/or complement by immunofluorescence/immunohistochemistry. This feature is associated with a prominent GBM reflecting an diffuse and relativly uniform increase in thickness (subjective estimate).",HP,HP:0033601,http://purl.obolibrary.org/obo/HP_0033601
13825,Glomerular hyaline subepithelial deposits,"A type of glomerular subepithelial deposit characterized by a moderately electron-dense, generally homogenous, amorphous-appearing extracellular material located between the outer (epithelial) aspect of the glomerular basement membrane (GBM) and the visceral epithelial cell, with varying degrees of incorporation into the GBM. This feature is associated with a prominent GBM reflecting an diffuse and relativly uniform increase in thickness (subjective estimate).",HP,HP:0033602,http://purl.obolibrary.org/obo/HP_0033602
13826,Glomerular subepithelial deposits,"Deposits located between the outer (epithelial) aspect of the glomerular basement membrane (GBM) and the visceral epithelial cell, with varying degrees of incorporation into the GBM. This feature may be associated with a prominent GBM reflecting an diffuse and relativly uniform increase in thickness (subjective estimate).",HP,HP:0033603,http://purl.obolibrary.org/obo/HP_0033603
13827,Glomerular capillary wire loop deposits,"Glomerulus showing markedly and irregularly thickened capillary walls with massive fuchsinophilic subendothelial deposits, resulting in narrowing of capillary lumina. This feature is said to resemble a wire loop.",HP,HP:0033604,http://purl.obolibrary.org/obo/HP_0033604
13828,Pustular rash,"A rash composed of pustular lesions. A pustule is defined as a vesicle or bulla containing purulent material. It varies in size and may occur at different levels within the epidermis: subcorneal, intraepidermal, or basement membrane zones. The pustules may or may not be sterile and are normally filled with neutrophils.",HP,HP:0033605,http://purl.obolibrary.org/obo/HP_0033605
13829,Bone marrow maturation arrest,"Interruption of the procecss of diffferentiation of hematopoietic cells in the bone marrow, manifested by an increased proportion of immature cells in the bone marrow.",HP,HP:0033606,http://purl.obolibrary.org/obo/HP_0033606
13830,Bone marrow arrest at the promyelocytic stage,A type of bone marrow maturation arrest characterized by accumulation of neutrophil precursor cells in the bone marrow.,HP,HP:0033607,http://purl.obolibrary.org/obo/HP_0033607
13831,Pulmonary nodule,"Focal rounded or ovoid opacity, not more than 3 cm in diameter. Pulmonary nodules are typically observed by chest radiography or computer tomography imaging.",HP,HP:0033608,http://purl.obolibrary.org/obo/HP_0033608
13832,Solid pulmonary nodule,"A type of pulmonary nodule whose density obscures the underlying parenchyma and thus has a ""solid"" appearance.",HP,HP:0033609,http://purl.obolibrary.org/obo/HP_0033609
13833,Subsolid pulmonary nodule,"Pulmonary subsolid nodules (SSNs) refer to pulmonary nodules with pure ground-glass nodules and part-solid ground-glass nodules. A ground-glass nodule (GGN) is the morphologic description of a pulmonary nodule category on thin-section chest computed tomography (CT). During the past decade, the natural history, management strategy and long-term prognosis in the case of GGNs have attracted attention.",HP,HP:0033610,http://purl.obolibrary.org/obo/HP_0033610
13834,Part-solid pulmonary nodule,Part-solid pulmonary nodules are nodules that present with both ground-glass and solid components in which the underlying lung architecture cannot be visualized.,HP,HP:0033611,http://purl.obolibrary.org/obo/HP_0033611
13835,Pure ground-glass pulmonary nodule,"Pure ground-glass pulmonary nodules (GGNs) are defined as focal nodular areas of increased lung attenuation through which lung parenchymal structures, such as the pulmonary vessels or bronchial structures, can be observed.",HP,HP:0033612,http://purl.obolibrary.org/obo/HP_0033612
13836,Perifissural pulmonary nodule,"Solid, homogenous nodules characterised by a smooth margin and oval, rounded, lentiform or triangular shape. They are typically located within 15 mm from the issue or the pleura. Perifissural nodules may be further differentiated into typical (have contact with interlobar septum) and atypical (do not have contact with interlobar septum). They likely represent intrapulmonary lymphnodes.",HP,HP:0033613,http://purl.obolibrary.org/obo/HP_0033613
13837,Tracheal bronchus,"Aberrant or accessory bronchus supplying the upper lobe originating from the lateral wall of the trachea. The tracheal bronchus is more commonly right-sided, has a variable length and may be blind-ended. Two common types of tracheal bronchus are: supernumerary and displaced.",HP,HP:0033614,http://purl.obolibrary.org/obo/HP_0033614
13838,Displaced tracheal bronchus,Accessory bronchus originating from trachea replacing one of the segmental branches of the anatomically normal upper lobe bronchus.,HP,HP:0033615,http://purl.obolibrary.org/obo/HP_0033615
13839,Accessory cardiac bronchus,Accessory bronchus originating from the medial wall of the right or left ban bronchus or bronchus intermedius. A cardiac bronchus is usually blind-ended.,HP,HP:0033616,http://purl.obolibrary.org/obo/HP_0033616
13840,Supernumerary tracheal bronchus,Accessory bronchus which exits the trachea in addition to an anatomically normal branching upper lobe bronchus.,HP,HP:0033617,http://purl.obolibrary.org/obo/HP_0033617
13841,Displaced lobar tracheal bronchus,Accessory entire right upper lobe bronchial system originating from the trachea with absent anatomically normal upper lobe bronchus.,HP,HP:0033618,http://purl.obolibrary.org/obo/HP_0033618
13842,Typical perifissural nodule,A perifissural nodule that has contact with the interlobar septum (and is therefore considered typical).,HP,HP:0033619,http://purl.obolibrary.org/obo/HP_0033619
13843,Atypical perifissural nodule,A perifissural nodule that does not have contact with the interlobar septum (and is therefore considered atypical).,HP,HP:0033620,http://purl.obolibrary.org/obo/HP_0033620
13844,Bronchial diverticula,Bronchial diverticula are blind-ended outpouchings arising from the bronchial tree. They are commonly pulsion diverticula acquired related to chronic cough. Subcarinal air cyst is thought to represent a small main bronchial diverticulum.,HP,HP:0033621,http://purl.obolibrary.org/obo/HP_0033621
13845,Migratory erythematous plaque,"A migratory, centrifugal, erythematous, tender, non-purpuric, and well-demarcated plaque. This feature may be observed in TNF receptor-associated periodic syndrome, in which it often occurs together with migratory myalgia in muscles located underneath the affected areas of skin.",HP,HP:0033622,http://purl.obolibrary.org/obo/HP_0033622
13846,Birth history,Information about the delivery and health status at birth typically elicited as a part of the past medical history.,HP,HP:0033623,http://purl.obolibrary.org/obo/HP_0033623
13847,History of congenital CMV infection,"A congenital cytomegalovirus (CMV) infection of the newborn can follow either a primary or recurrent maternal infection. Jaundice, petechiae, and hepatosplenomegaly are the most frequently noted clinical triad in symptomatic infants. Affected infants may develop permanent disabilities such as hearing loss, vision loss, motor and cognitive deficits.",HP,HP:0033624,http://purl.obolibrary.org/obo/HP_0033624
13848,Emotional insecurity,A feeling of general unease or nervousness that may be triggered by a sense of vulnerability or instability which is perceived as threatening.,HP,HP:0033625,http://purl.obolibrary.org/obo/HP_0033625
13849,Increased non-HDL cholesterol concentration,Increase above normal levels of non-HDL cholesterol in the blood. Non-HDL cholesterol is total cholesterol minus high-density lipoprotein HDL-cholesterol (high-density lipoprotein-cholesterol).,HP,HP:0033626,http://purl.obolibrary.org/obo/HP_0033626
13850,Increased urine harderoporphyrin level,Increased amount of harderoporphyrin in the urine.,HP,HP:0033627,http://purl.obolibrary.org/obo/HP_0033627
13851,Bowel irritability,Intermittent abdominal pain with diarrhea and/or constipation.,HP,HP:0033628,http://purl.obolibrary.org/obo/HP_0033628
13852,IgG4 autoimmune antibody positivity,The presence of an antibody of subclass IgG4 in the blood circulation that is directed against the organism's own cells or tissues.,HP,HP:0033629,http://purl.obolibrary.org/obo/HP_0033629
13853,Brain fog,"Brain fog is a type of transient cognitive dysfunction that comprises a constellation of symptoms that impair intellectual functioning to a level that interferes with daily activities, commonly including forgetfulness, mental slowness, difficulty thinking or focusing, a perceived slowing of mental processing speed, inability to find the right words, a sensation that the mind went blank or is ""cloudy"". Brain fog tends to recur and may be triggered by factors such as physical fatigue, lack of sleep, and prolonged standing or may appear to occur spontaneously.",HP,HP:0033630,http://purl.obolibrary.org/obo/HP_0033630
